UniProtKB_AC,Ensembl_Protein
Q9UBZ9,ENSP00000258428
Q8NBP5,ENSP00000258436
O75204,ENSP00000258439
Q9UNE0,ENSP00000258443
P82933,ENSP00000258455
Q9Y5Y3,ENSP00000258456
Q9BVC5,ENSP00000258457
Q52LR7,ENSP00000258484
Q3SY69,ENSP00000258494
Q9H0E7,ENSP00000258499
O60486,ENSP00000258526
Q8N682,ENSP00000258534
Q96JW4,ENSP00000258538
Q9NS62,ENSP00000258613
Q9NPJ6,ENSP00000258648
Q96JB2,ENSP00000258654
Q9NV35,ENSP00000258662
Q8NFV5,ENSP00000258704
O00425,ENSP00000258729
P33947,ENSP00000258739
O15504,ENSP00000258742
Q969Z0,ENSP00000258770
Q9NY93,ENSP00000258772
O60921,ENSP00000258774
B0I1T2,ENSP00000258787
Q9C0H2,ENSP00000258796
Q8N0Z6,ENSP00000258821
O15522,ENSP00000258829
Q96GR2,ENSP00000258873
P49914,ENSP00000258874
Q6PCB6,ENSP00000258884
P48200,ENSP00000258886
Q96L96,ENSP00000258888
O75838,ENSP00000258930
Q9HA92,ENSP00000258955
Q07955,ENSP00000258962
O15335,ENSP00000258969
Q9BSH4,ENSP00000258975
Q8IWB9,ENSP00000258991
Q9BT23,ENSP00000259006
Q9BX63,ENSP00000259008
O95251,ENSP00000259021
Q96DX8,ENSP00000259030
O43674,ENSP00000259037
Q8IX05,ENSP00000259053
Q7Z7M9,ENSP00000259056
Q92844,ENSP00000259075
P51451,ENSP00000259089
Q9Y597,ENSP00000259154
Q8IUF1,ENSP00000259199
Q9NZH8,ENSP00000259205
P18510,ENSP00000259206
Q9UHA7,ENSP00000259211
Q9UBH0,ENSP00000259212
Q9NZH7,ENSP00000259213
P0CG37,ENSP00000259216
Q96NT0,ENSP00000259229
Q96G21,ENSP00000259239
O60243,ENSP00000259241
Q9NYU2,ENSP00000259253
P04921,ENSP00000259254
Q8IWT6,ENSP00000259324
J3KN16,ENSP00000259335
O14657,ENSP00000259339
Q5JS13,ENSP00000259351
Q8NGS3,ENSP00000259357
Q8NGT0,ENSP00000259362
P28289,ENSP00000259365
Q5VWQ8,ENSP00000259371
O15432,ENSP00000259392
P02763,ENSP00000259396
P56962,ENSP00000259400
Q14032,ENSP00000259407
O75899,ENSP00000259455
Q9BXL5,ENSP00000259456
Q99436,ENSP00000259457
Q8NGR5,ENSP00000259466
Q13371,ENSP00000259467
P42766,ENSP00000259469
O60911,ENSP00000259470
Q13822,ENSP00000259486
Q9BUN8,ENSP00000259512
P48745,ENSP00000259526
O60518,ENSP00000259569
Q9H0F5,ENSP00000259605
O00585,ENSP00000259607
Q9Y3P8,ENSP00000259608
Q9Y4X3,ENSP00000259631
O75935,ENSP00000259632
P21854,ENSP00000259633
Q9BX68,ENSP00000259667
Q9Y4F9,ENSP00000259698
Q9NSK0,ENSP00000259708
Q9H1H9,ENSP00000259711
P36959,ENSP00000259727
Q5T3F8,ENSP00000259746
Q5TCY1,ENSP00000259750
Q9UJW2,ENSP00000259782
Q9NP62,ENSP00000259803
Q13546,ENSP00000259808
Q9BVA1,ENSP00000259818
Q9UIG4,ENSP00000259845
Q6UXA7,ENSP00000259870
Q9Y676,ENSP00000259873
P46695,ENSP00000259874
Q9UIG5,ENSP00000259881
Q96JS3,ENSP00000259883
Q92759,ENSP00000259895
Q01860,ENSP00000259915
P04118,ENSP00000259938
Q7Z419,ENSP00000259939
P30511,ENSP00000259951
Q8IXM6,ENSP00000259953
Q9UBU6,ENSP00000259963
Q5T4I8,ENSP00000259983
Q9BYJ0,ENSP00000259989
O60603,ENSP00000260010
O43422,ENSP00000260045
Q9P015,ENSP00000260102
O43692,ENSP00000260113
P49638,ENSP00000260116
Q92820,ENSP00000260118
Q9H2Y9,ENSP00000260126
Q8IWU6,ENSP00000260128
Q96RS0,ENSP00000260129
O75604,ENSP00000260187
O95264,ENSP00000260191
Q92673,ENSP00000260197
Q9BRD0,ENSP00000260210
P09237,ENSP00000260227
O60882,ENSP00000260228
Q9H306,ENSP00000260229
Q9BTE7,ENSP00000260247
Q9BRP7,ENSP00000260257
Q9UKI9,ENSP00000260264
P10109,ENSP00000260270
Q9H5F2,ENSP00000260276
Q9P2F6,ENSP00000260283
P45452,ENSP00000260302
Q8NB66,ENSP00000260323
Q05D32,ENSP00000260327
P07996,ENSP00000260356
Q9Y375,ENSP00000260361
Q02241,ENSP00000260363
Q9NVX0,ENSP00000260372
Q9UGJ1,ENSP00000260383
Q96TC7,ENSP00000260385
P23677,ENSP00000260386
Q00722,ENSP00000260402
Q0P6H9,ENSP00000260403
O14672,ENSP00000260408
Q9UHA3,ENSP00000260443
P30047,ENSP00000260447
Q8NEH6,ENSP00000260453
O75815,ENSP00000260502
Q6ZT98,ENSP00000260505
Q6YP21,ENSP00000260508
Q52LW3,ENSP00000260526
O00442,ENSP00000260563
Q9UG01,ENSP00000260570
Q9C0D9,ENSP00000260585
P50053,ENSP00000260599
Q9HCU5,ENSP00000260643
Q07837,ENSP00000260649
O95343,ENSP00000260653
P42704,ENSP00000260665
P11712,ENSP00000260682
Q96JB6,ENSP00000260702
Q32M84,ENSP00000260723
P52732,ENSP00000260731
Q9HA72,ENSP00000260743
P36405,ENSP00000260746
Q8TAG9,ENSP00000260762
Q9UK59,ENSP00000260803
Q92547,ENSP00000260810
O75165,ENSP00000260818
Q9BY21,ENSP00000260843
Q99728,ENSP00000260947
O14793,ENSP00000260950
Q9NWL6,ENSP00000260952
Q9NRN9,ENSP00000260953
Q13427,ENSP00000260970
Q9P2P5,ENSP00000260983
P07316,ENSP00000260988
P02708,ENSP00000261007
Q9GZL7,ENSP00000261015
P06756,ENSP00000261023
Q9NP59,ENSP00000261024
P27658,ENSP00000261037
Q96SL1,ENSP00000261038
O95843,ENSP00000261047
Q8NEL0,ENSP00000261058
Q14061,ENSP00000261070
Q9Y2W2,ENSP00000261167
P25092,ENSP00000261170
Q99645,ENSP00000261172
A1L157,ENSP00000261177
Q9UKU6,ENSP00000261180
Q9BZF1,ENSP00000261183
Q9NVM9,ENSP00000261191
P54840,ENSP00000261195
Q9NPD5,ENSP00000261196
O60706,ENSP00000261200
P21579,ENSP00000261205
P42357,ENSP00000261208
Q00537,ENSP00000261211
Q9ULS5,ENSP00000261226
Q9Y616,ENSP00000261233
Q9Y2B1,ENSP00000261234
P51948,ENSP00000261245
Q32P41,ENSP00000261249
Q9NQ89,ENSP00000261250
P30279,ENSP00000261254
Q9UL25,ENSP00000261263
P61626,ENSP00000261267
O60320,ENSP00000261275
Q9Y5X9,ENSP00000261292
O95455,ENSP00000261296
P62191,ENSP00000261303
P54803,ENSP00000261304
Q96BP3,ENSP00000261308
P30086,ENSP00000261313
Q9H741,ENSP00000261318
Q96EN8,ENSP00000261326
P20742,ENSP00000261336
Q9UHP7,ENSP00000261340
O75581,ENSP00000261349
P20700,ENSP00000261366
Q9Y6H5,ENSP00000261367
Q9Y343,ENSP00000261369
Q9Y278,ENSP00000261374
Q96IC2,ENSP00000261377
Q86Y38,ENSP00000261381
Q8TD57,ENSP00000261383
Q9NZC3,ENSP00000261386
Q8WUM0,ENSP00000261396
O60285,ENSP00000261402
P04275,ENSP00000261405
Q6P1A2,ENSP00000261407
P07686,ENSP00000261416
P61086,ENSP00000261427
Q86UW6,ENSP00000261435
P57682,ENSP00000261438
Q86TI0,ENSP00000261439
Q5VWQ0,ENSP00000261441
O14958,ENSP00000261448
Q15172,ENSP00000261461
O00463,ENSP00000261464
Q969Q6,ENSP00000261475
P60900,ENSP00000261479
Q16706,ENSP00000261483
Q8TC92,ENSP00000261488
Q9UPT9,ENSP00000261497
Q9UPM9,ENSP00000261499
Q5M775,ENSP00000261503
Q15800,ENSP00000261507
P51790,ENSP00000261514
Q659A1,ENSP00000261520
P35398,ENSP00000261523
Q9NWQ4,ENSP00000261530
Q9UKY4,ENSP00000261534
Q86YT6,ENSP00000261537
Q9NX78,ENSP00000261556
Q9H0R1,ENSP00000261558
Q9H8G1,ENSP00000261560
O00410,ENSP00000261574
Q86YC2,ENSP00000261584
O60303,ENSP00000261588
Q14126,ENSP00000261590
O94818,ENSP00000261592
Q8WVD3,ENSP00000261593
Q92539,ENSP00000261596
O14777,ENSP00000261597
Q96FV9,ENSP00000261600
P54578,ENSP00000261601
O95714,ENSP00000261609
Q01650,ENSP00000261622
P13498,ENSP00000261623
P40616,ENSP00000261636
O75691,ENSP00000261637
Q12887,ENSP00000261643
Q6DKK2,ENSP00000261647
O14836,ENSP00000261652
O15034,ENSP00000261655
Q9NZS9,ENSP00000261658
O00505,ENSP00000261667
Q8N3R9,ENSP00000261681
O14519,ENSP00000261692
Q8WTV0,ENSP00000261693
Q9Y224,ENSP00000261700
P31645,ENSP00000261707
Q9NYH9,ENSP00000261708
O00231,ENSP00000261712
Q13867,ENSP00000261714
Q7L7X3,ENSP00000261716
Q9H0C5,ENSP00000261721
O14529,ENSP00000261726
Q9H2C1,ENSP00000261731
P05091,ENSP00000261733
P30040,ENSP00000261735
Q8IZ07,ENSP00000261739
Q14CX7,ENSP00000261745
P30926,ENSP00000261751
Q14696,ENSP00000261758
P12830,ENSP00000261769
P49588,ENSP00000261772
Q08AM6,ENSP00000261776
Q9C0B7,ENSP00000261778
P78540,ENSP00000261783
O15321,ENSP00000261789
Q9UHF5,ENSP00000261796
P52848,ENSP00000261797
P48729,ENSP00000261798
P09619,ENSP00000261799
Q9NYQ8,ENSP00000261800
Q9H1C7,ENSP00000261811
O60925,ENSP00000261813
Q9UJX4,ENSP00000261819
Q9Y6A2,ENSP00000261835
O14775,ENSP00000261837
Q9NQX4,ENSP00000261839
Q9UPM8,ENSP00000261842
Q16659,ENSP00000261845
Q8TCT8,ENSP00000261854
O94923,ENSP00000261858
Q9UQ03,ENSP00000261861
Q96JI7,ENSP00000261866
O14863,ENSP00000261867
O75822,ENSP00000261868
Q9P035,ENSP00000261875
Q8WW43,ENSP00000261879
Q6PD74,ENSP00000261880
Q9BVW5,ENSP00000261881
O75339,ENSP00000261883
Q15650,ENSP00000261884
Q8N5Y8,ENSP00000261888
Q13596,ENSP00000261889
P62491,ENSP00000261890
O60721,ENSP00000261892
P83111,ENSP00000261893
O60563,ENSP00000261900
Q9Y3Q4,ENSP00000261917
O75326,ENSP00000261918
Q08397,ENSP00000261921
P35916,ENSP00000261937
Q96CS3,ENSP00000261942
Q96CW5,ENSP00000261965
P49756,ENSP00000261973
Q14767,ENSP00000261978
P58304,ENSP00000261980
Q9UK55,ENSP00000261994
O60271,ENSP00000262013
Q16586,ENSP00000262018
P56192,ENSP00000262027
P06576,ENSP00000262030
Q15434,ENSP00000262031
Q8NEB9,ENSP00000262039
P50222,ENSP00000262041
Q92576,ENSP00000262043
P18846,ENSP00000262053
Q15546,ENSP00000262065
O95857,ENSP00000262067
O00194,ENSP00000262094
Q9UIJ5,ENSP00000262096
Q9ULD2,ENSP00000262102
Q9HAE3,ENSP00000262103
P33991,ENSP00000262105
Q86X53,ENSP00000262109
P54296,ENSP00000262113
Q9GZX9,ENSP00000262120
Q6UB98,ENSP00000262126
Q8TAP6,ENSP00000262127
Q08999,ENSP00000262133
Q7L5N7,ENSP00000262134
Q9UBN1,ENSP00000262138
Q5MNZ9,ENSP00000262139
Q6PJI9,ENSP00000262144
Q15390,ENSP00000262146
Q9H159,ENSP00000262150
O15105,ENSP00000262158
Q15796,ENSP00000262160
O75190,ENSP00000262177
P41587,ENSP00000262178
Q12809,ENSP00000262186
Q15382,ENSP00000262187
Q6STE5,ENSP00000262188
Q8NEZ4,ENSP00000262189
P20618,ENSP00000262193
Q6IQ32,ENSP00000262198
Q9H336,ENSP00000262207
O75762,ENSP00000262209
A0A7I2PHE7,ENSP00000262210
Q15629,ENSP00000262213
Q9Y6D6,ENSP00000262215
P27216,ENSP00000262219
Q15363,ENSP00000262225
P25490,ENSP00000262238
Q9UKL0,ENSP00000262241
Q86TA1,ENSP00000262244
Q9Y473,ENSP00000262259
P20138,ENSP00000262262
Q9NWS0,ENSP00000262265
I6L893,ENSP00000262283
Q9HB40,ENSP00000262288
P22079,ENSP00000262290
Q96GC9,ENSP00000262291
Q96HE9,ENSP00000262293
O94972,ENSP00000262294
Q99640,ENSP00000262300
Q96S06,ENSP00000262301
Q9Y5Y2,ENSP00000262302
P98161,ENSP00000262304
O75154,ENSP00000262305
Q15370,ENSP00000262306
Q8WVB6,ENSP00000262315
Q96CC6,ENSP00000262316
Q9Y4R8,ENSP00000262319
O15169,ENSP00000262320
Q16518,ENSP00000262340
Q99665,ENSP00000262345
P43005,ENSP00000262352
P0C5J1,ENSP00000262365
Q9BZE0,ENSP00000262366
Q92793,ENSP00000262367
O60291,ENSP00000262370
Q9BT22,ENSP00000262374
Q96EY1,ENSP00000262375
Q9NPG3,ENSP00000262376
O75113,ENSP00000262384
Q9Y6I7,ENSP00000262394
Q9BUZ4,ENSP00000262395
O75916,ENSP00000262406
P08514,ENSP00000262407
Q14562,ENSP00000262415
P02730,ENSP00000262418
Q9H0B8,ENSP00000262424
Q12946,ENSP00000262426
Q14019,ENSP00000262428
O95822,ENSP00000262430
Q6P1Q9,ENSP00000262432
Q9HAU4,ENSP00000262435
O95838,ENSP00000262441
Q9NYC9,ENSP00000262442
Q8TDI0,ENSP00000262450
Q9BS26,ENSP00000262455
Q9Y283,ENSP00000262457
Q14691,ENSP00000262460
P55011,ENSP00000262461
Q9Y2P4,ENSP00000262462
Q9H6Y7,ENSP00000262482
Q9BZ71,ENSP00000262483
B1AKI9,ENSP00000262487
P09471,ENSP00000262494
Q9Y6A4,ENSP00000262498
P19784,ENSP00000262506
O75208,ENSP00000262507
Q86WI3,ENSP00000262510
Q6ZRS2,ENSP00000262518
O15047,ENSP00000262519
Q9UEG4,ENSP00000262525
P16519,ENSP00000262545
Q9NVP4,ENSP00000262547
O15269,ENSP00000262554
Q8IXZ2,ENSP00000262577
P62917,ENSP00000262584
Q9P104,ENSP00000262593
O14745,ENSP00000262613
Q9H2A9,ENSP00000262622
P20648,ENSP00000262623
P05981,ENSP00000262626
O43914,ENSP00000262629
Q9BTD8,ENSP00000262633
P51809,ENSP00000262640
P24864,ENSP00000262643
Q9NX62,ENSP00000262644
P61019,ENSP00000262646
P23352,ENSP00000262648
O43439,ENSP00000262653
Q9NUG4,ENSP00000262659
P42773,ENSP00000262662
Q9UKV3,ENSP00000262710
Q96IF1,ENSP00000262713
Q99973,ENSP00000262715
Q9HBT6,ENSP00000262717
O60346,ENSP00000262719
Q5THR3,ENSP00000262726
Q9NYQ6,ENSP00000262738
Q92569,ENSP00000262741
Q06830,ENSP00000262746
Q9UK32,ENSP00000262752
Q32NB8,ENSP00000262764
Q9H0J4,ENSP00000262765
P16035,ENSP00000262768
Q08380,ENSP00000262776
Q9BXT6,ENSP00000262794
P55199,ENSP00000262809
O60307,ENSP00000262811
Q9Y6X3,ENSP00000262815
Q9UL62,ENSP00000262839
Q9UJV3,ENSP00000262843
Q9Y4X0,ENSP00000262844
P51817,ENSP00000262848
Q5VZM2,ENSP00000262850
P17213,ENSP00000262865
Q9H6Q3,ENSP00000262866
Q86X10,ENSP00000262879
P18887,ENSP00000262887
Q96L34,ENSP00000262891
Q9UK10,ENSP00000262894
Q8IYU2,ENSP00000262903
O00716,ENSP00000262904
P56696,ENSP00000262916
O75882,ENSP00000262919
Q8N129,ENSP00000262932
O43374,ENSP00000262940
Q92747,ENSP00000262942
Q969H8,ENSP00000262947
P36507,ENSP00000262948
P30679,ENSP00000262958
Q86TI2,ENSP00000262960
Q9UPR6,ENSP00000262961
Q9BW85,ENSP00000262962
P15923,ENSP00000262965
Q8N2W9,ENSP00000262971
P55060,ENSP00000262982
Q9Y3S2,ENSP00000262990
Q13480,ENSP00000262995
P25874,ENSP00000262999
P27361,ENSP00000263025
O00418,ENSP00000263026
Q96HY7,ENSP00000263035
O14832,ENSP00000263038
Q8WY21,ENSP00000263054
P41279,ENSP00000263056
Q9H2F5,ENSP00000263062
Q9NVV4,ENSP00000263063
Q14162,ENSP00000263071
Q86US8,ENSP00000263073
P45381,ENSP00000263080
Q9BZG8,ENSP00000263083
P38570,ENSP00000263087
O14939,ENSP00000263088
Q86W50,ENSP00000263092
Q9Y2P5,ENSP00000263093
Q8IZY2,ENSP00000263094
O43296,ENSP00000263095
P04217,ENSP00000263100
Q16204,ENSP00000263102
O95755,ENSP00000263116
Q04759,ENSP00000263125
Q9Y2I8,ENSP00000263150
Q9P2U8,ENSP00000263160
P52907,ENSP00000263168
Q9NP74,ENSP00000263174
Q32ZL2,ENSP00000263177
Q8NI77,ENSP00000263181
O75936,ENSP00000263182
O15457,ENSP00000263187
P98153,ENSP00000263196
Q92890,ENSP00000263202
Q96RN5,ENSP00000263205
O00192,ENSP00000263207
P54198,ENSP00000263208
Q8WYQ5,ENSP00000263209
P49593,ENSP00000263212
Q712K3,ENSP00000263228
P08247,ENSP00000263233
P61158,ENSP00000263238
Q9NVP1,ENSP00000263239
Q9NP61,ENSP00000263245
Q9UNF0,ENSP00000263246
Q09472,ENSP00000263253
Q6ICB0,ENSP00000263256
Q9UNW9,ENSP00000263257
Q9H4M7,ENSP00000263265
Q2M2I3,ENSP00000263266
Q8N565,ENSP00000263268
O15399,ENSP00000263269
P18858,ENSP00000263274
Q9NZN4,ENSP00000263277
Q9BPX1,ENSP00000263278
Q9HBG7,ENSP00000263285
P56373,ENSP00000263314
Q9NPH5,ENSP00000263317
P14679,ENSP00000263321
Q9NZH6,ENSP00000263326
Q06710,ENSP00000263334
P01583,ENSP00000263339
P01584,ENSP00000263341
Q9BQ70,ENSP00000263346
P54920,ENSP00000263354
P30043,ENSP00000263368
Q96DU7,ENSP00000263370
Q9Y257,ENSP00000263372
O60885,ENSP00000263377
Q6UWB1,ENSP00000263379
Q9NVP2,ENSP00000263382
A1L0T0,ENSP00000263383
Q9Y421,ENSP00000263384
Q9UM47,ENSP00000263388
O95402,ENSP00000263390
Q9P000,ENSP00000263401
P02748,ENSP00000263408
P13671,ENSP00000263413
P05129,ENSP00000263431
Q9BZL4,ENSP00000263433
Q9Y672,ENSP00000263440
Q9BZH6,ENSP00000263461
Q13489,ENSP00000263464
Q9P2H0,ENSP00000263468
P09131,ENSP00000263512
Q16720,ENSP00000263519
Q9H0J9,ENSP00000263549
P13674,ENSP00000263556
O75436,ENSP00000263559
Q9ULE6,ENSP00000263563
Q9UHL0,ENSP00000263576
Q96CU9,ENSP00000263578
Q96C86,ENSP00000263579
Q9HAT2,ENSP00000263593
P31025,ENSP00000263598
Q9BZE3,ENSP00000263610
Q99856,ENSP00000263620
P46199,ENSP00000263629
Q9C0D5,ENSP00000263635
O60449,ENSP00000263636
P60033,ENSP00000263645
Q9H0X9,ENSP00000263650
Q96F85,ENSP00000263655
Q9NRX1,ENSP00000263657
Q53T94,ENSP00000263663
Q9P232,ENSP00000263665
Q9UPQ7,ENSP00000263666
Q6WN34,ENSP00000263671
Q15005,ENSP00000263672
Q96PE2,ENSP00000263674
Q15054,ENSP00000263681
P16109,ENSP00000263686
Q96DI7,ENSP00000263694
O75937,ENSP00000263697
Q9BV79,ENSP00000263702
Q9NZI6,ENSP00000263707
P29074,ENSP00000263708
Q7Z460,ENSP00000263710
Q9HCM4,ENSP00000263713
Q969G2,ENSP00000263726
O75063,ENSP00000263733
Q99814,ENSP00000263734
P16422,ENSP00000263735
Q8N5C6,ENSP00000263736
Q5FBB7,ENSP00000263753
Q92831,ENSP00000263754
Q8N3X1,ENSP00000263773
O75489,ENSP00000263774
Q96QU6,ENSP00000263776
Q9UQN3,ENSP00000263780
Q9P2K8,ENSP00000263791
Q9H967,ENSP00000263795
Q06418,ENSP00000263798
P29376,ENSP00000263800
Q9H2Y7,ENSP00000263805
P22059,ENSP00000263847
Q96GY0,ENSP00000263849
P13232,ENSP00000263851
Q9Y3E7,ENSP00000263856
O95602,ENSP00000263857
Q9BV40,ENSP00000263864
P40121,ENSP00000263867
Q8IVH8,ENSP00000263881
Q9NZ43,ENSP00000263897
O75886,ENSP00000263904
Q14449,ENSP00000263915
O43815,ENSP00000263918
Q9UKJ5,ENSP00000263921
P35968,ENSP00000263923
Q8TBB1,ENSP00000263925
P28908,ENSP00000263932
O60333,ENSP00000263934
Q13835,ENSP00000263946
O94768,ENSP00000263955
Q9Y5Q9,ENSP00000263956
Q9H8M1,ENSP00000263960
Q92995,ENSP00000263966
P42336,ENSP00000263967
Q16514,ENSP00000263974
P19634,ENSP00000263980
O75879,ENSP00000263985
Q8NDI1,ENSP00000263991
Q96CW6,ENSP00000263997
Q9UBR5,ENSP00000264001
P04180,ENSP00000264005
P22223,ENSP00000264012
Q9NQC8,ENSP00000264020
Q15223,ENSP00000264025
O75845,ENSP00000264027
P48444,ENSP00000264028
O43280,ENSP00000264029
O00526,ENSP00000264031
P22681,ENSP00000264033
P43121,ENSP00000264036
P35052,ENSP00000264039
O94887,ENSP00000264042
Q9GZV3,ENSP00000264047
Q8N5V2,ENSP00000264051
Q16760,ENSP00000264057
Q9BUP0,ENSP00000264059
Q8IXB1,ENSP00000264065
P04350,ENSP00000264071
P06734,ENSP00000264072
Q9GZU1,ENSP00000264079
Q9NPR9,ENSP00000264080
Q16854,ENSP00000264093
P58215,ENSP00000264094
O14929,ENSP00000264108
P15336,ENSP00000264110
Q13753,ENSP00000264144
Q9H4B0,ENSP00000264151
Q14566,ENSP00000264156
O60583,ENSP00000264157
Q5FWF4,ENSP00000264159
P14868,ENSP00000264161
P09848,ENSP00000264162
O00116,ENSP00000264167
Q16719,ENSP00000264170
Q4LE39,ENSP00000264183
P14543,ENSP00000264187
O60759,ENSP00000264192
Q969V5,ENSP00000264198
P48645,ENSP00000264218
Q06203,ENSP00000264220
Q9H8P0,ENSP00000264228
Q6ZU35,ENSP00000264229
Q8NC60,ENSP00000264230
Q9HBU9,ENSP00000264231
O75417,ENSP00000264233
O75841,ENSP00000264234
Q2M1Z3,ENSP00000264245
P33681,ENSP00000264246
O43529,ENSP00000264249
Q9H2J4,ENSP00000264254
O14530,ENSP00000264255
Q9HB29,ENSP00000264257
O95256,ENSP00000264260
Q96RP9,ENSP00000264263
Q9BS40,ENSP00000264265
Q96Q42,ENSP00000264276
Q9Y2X3,ENSP00000264279
Q9P270,ENSP00000264313
P42681,ENSP00000264316
P48169,ENSP00000264318
Q02880,ENSP00000264331
P62258,ENSP00000264335
O94988,ENSP00000264344
Q8IVU3,ENSP00000264346
Q9UII4,ENSP00000264350
Q9P2E7,ENSP00000264360
Q9H3R1,ENSP00000264363
P07320,ENSP00000264376
O75077,ENSP00000264377
Q9Y2I7,ENSP00000264380
P06276,ENSP00000264381
P14410,ENSP00000264382
Q13237,ENSP00000264399
Q0VAM2,ENSP00000264400
Q53EU6,ENSP00000264409
Q13618,ENSP00000264414
P48167,ENSP00000264428
Q9Y4G8,ENSP00000264431
Q9P278,ENSP00000264433
Q9NWW7,ENSP00000264434
P35612,ENSP00000264436
Q05195,ENSP00000264444
Q6PML9,ENSP00000264451
Q9BRL7,ENSP00000264454
Q9Y6N8,ENSP00000264463
P01040,ENSP00000264474
P09038,ENSP00000264498
A0A0A0MQV6,ENSP00000264498
Q8IWZ6,ENSP00000264499
Q2LD37,ENSP00000264501
Q15291,ENSP00000264515
Q9NWB7,ENSP00000264538
Q16763,ENSP00000264552
P51124,ENSP00000264553
P98077,ENSP00000264554
Q9P1Y6,ENSP00000264555
P20809,ENSP00000264563
P20933,ENSP00000264595
Q8TAT5,ENSP00000264596
Q9H0T7,ENSP00000264601
Q9BV36,ENSP00000264605
P56524,ENSP00000264606
Q9Y576,ENSP00000264607
P00450,ENSP00000264613
P41221,ENSP00000264634
P10827,ENSP00000264637
P78357,ENSP00000264638
O43242,ENSP00000264639
O15234,ENSP00000264645
Q93050,ENSP00000264649
Q2M2I5,ENSP00000264651
P40763,ENSP00000264657
Q96IG2,ENSP00000264658
Q9UQ05,ENSP00000264661
Q13423,ENSP00000264663
O15520,ENSP00000264664
Q14CZ7,ENSP00000264669
Q08J23,ENSP00000264670
Q03112,ENSP00000264674
Q9NUQ7,ENSP00000264689
P03952,ENSP00000264690
Q9H6D8,ENSP00000264703
P27708,ENSP00000264705
Q9Y6K1,ENSP00000264709
P61026,ENSP00000264710
Q9NZQ0,ENSP00000264711
O14782,ENSP00000264712
P15408,ENSP00000264716
A0A0C4DFN2,ENSP00000264717
Q9HCN4,ENSP00000264718
Q9H3D4,ENSP00000264731
Q9Y5I7,ENSP00000264734
Q13797,ENSP00000264741
P35611,ENSP00000264758
Q9BSA9,ENSP00000264771
O14494,ENSP00000264775
Q9NRM0,ENSP00000264784
Q9NQX1,ENSP00000264808
Q8N344,ENSP00000264819
P12980,ENSP00000264824
P25940,ENSP00000264828
P05362,ENSP00000264832
O95897,ENSP00000264833
Q13351,ENSP00000264834
Q8TCG2,ENSP00000264864
Q8N5T2,ENSP00000264866
Q9UBK2,ENSP00000264867
P00488,ENSP00000264870
Q7Z3B4,ENSP00000264883
Q14108,ENSP00000264896
O60763,ENSP00000264904
P12429,ENSP00000264908
P15848,ENSP00000264914
O95263,ENSP00000264917
Q9NS91,ENSP00000264926
Q9Y666,ENSP00000264930
P31040,ENSP00000264932
O75340,ENSP00000264933
Q9P209,ENSP00000264935
P48764,ENSP00000264938
Q8IZH2,ENSP00000264951
Q8WTQ7,ENSP00000264952
Q9HAV7,ENSP00000264954
P57679,ENSP00000264956
Q9UM21,ENSP00000264968
P43403,ENSP00000264972
Q06190,ENSP00000264977
Q8NHQ1,ENSP00000264982
Q709F0,ENSP00000264990
Q9UKY7,ENSP00000264993
P09001,ENSP00000264995
Q86SF2,ENSP00000265000
O94993,ENSP00000265007
Q10588,ENSP00000265016
Q9ULE4,ENSP00000265018
P49619,ENSP00000265022
O43283,ENSP00000265026
Q9UGM5,ENSP00000265029
Q8WUY9,ENSP00000265036
A0A7I2PE23,ENSP00000265038
A0A0C4DFN3,ENSP00000265052
P49736,ENSP00000265056
P51149,ENSP00000265062
Q9ULG3,ENSP00000265068
Q96KR1,ENSP00000265069
Q9H4A6,ENSP00000265070
P55285,ENSP00000265071
P53999,ENSP00000265073
P17342,ENSP00000265074
P13611,ENSP00000265077
O14827,ENSP00000265080
P20585,ENSP00000265081
Q17RY0,ENSP00000265085
O76061,ENSP00000265087
Q9UKB1,ENSP00000265094
Q96J01,ENSP00000265097
Q8TE73,ENSP00000265104
Q9NW82,ENSP00000265107
P43003,ENSP00000265113
P24821,ENSP00000265131
P02760,ENSP00000265132
Q96B67,ENSP00000265138
Q9BQI6,ENSP00000265140
Q02224,ENSP00000265148
Q07075,ENSP00000265162
P55212,ENSP00000265164
Q9UJU2,ENSP00000265165
P01133,ENSP00000265171
O43252,ENSP00000265174
P56597,ENSP00000265191
Q9H173,ENSP00000265195
Q92527,ENSP00000265224
Q9H095,ENSP00000265239
Q9H089,ENSP00000265245
Q8WW12,ENSP00000265260
Q9P2N5,ENSP00000265271
Q9HCL2,ENSP00000265276
Q96EA4,ENSP00000265295
Q4G0A6,ENSP00000265299
Q9NQA5,ENSP00000265310
Q9NP58,ENSP00000265316
Q9BY49,ENSP00000265322
Q8IVW4,ENSP00000265334
P63146,ENSP00000265339
P78337,ENSP00000265340
Q6MZW2,ENSP00000265342
Q9UHB7,ENSP00000265343
Q9H944,ENSP00000265350
Q9HAV4,ENSP00000265351
P11831,ENSP00000265354
Q99985,ENSP00000265361
Q14563,ENSP00000265362
O14786,ENSP00000265371
Q03060,ENSP00000265372
Q02410,ENSP00000265381
O14986,ENSP00000265382
Q9Y5L0,ENSP00000265388
P31937,ENSP00000265395
P36537,ENSP00000265403
Q9ULZ2,ENSP00000265404
P06746,ENSP00000265421
P05937,ENSP00000265431
O60934,ENSP00000265433
